file_name,publishability_label,conference,Rationale
P001.pdf,Publishable,TMLR,0.39546615
P002.pdf,Non-Publishable,TMLR,0.36769515
P003.pdf,Publishable,TMLR,0.44355756
P004.pdf,Publishable,CVPR,0.48471436
P005.pdf,Publishable,CVPR,0.497791
P006.pdf,Publishable,CVPR,0.5138799
P007.pdf,Publishable,TMLR,0.45315945
P008.pdf,Publishable,TMLR,0.5057266
P009.pdf,Publishable,TMLR,0.39334384
P010.pdf,Publishable,TMLR,0.4595
P011.pdf,Publishable,TMLR,0.44991136
P012.pdf,Publishable,TMLR,0.48665982
P013.pdf,Publishable,TMLR,0.40402472
P014.pdf,Publishable,TMLR,0.4700793
P015.pdf,Publishable,CVPR,0.48951346
P016.pdf,Publishable,TMLR,0.42242098
P017.pdf,Publishable,TMLR,0.47574276
P018.pdf,Publishable,TMLR,0.47851795
P019.pdf,Publishable,TMLR,0.4374743
P020.pdf,Publishable,CVPR,0.47449398
P021.pdf,Publishable,TMLR,0.4466647
P022.pdf,Publishable,TMLR,0.44979572
P023.pdf,Publishable,CVPR,0.5055612
P024.pdf,Publishable,TMLR,0.41984475
P025.pdf,Publishable,TMLR,0.39642555
P026.pdf,Publishable,TMLR,0.45260724
P027.pdf,Publishable,TMLR,0.43574065
P028.pdf,Publishable,TMLR,0.40261346
P029.pdf,Publishable,TMLR,0.5013905
P030.pdf,Publishable,TMLR,0.4152319
P031.pdf,Publishable,TMLR,0.45313105
P032.pdf,Non-Publishable,CVPR,0.38901734
P033.pdf,Publishable,TMLR,0.4390401
P034.pdf,Publishable,TMLR,0.42490608
P035.pdf,Publishable,TMLR,0.4011116
P036.pdf,Non-Publishable,TMLR,0.3988489
P037.pdf,Publishable,TMLR,0.4319278
P038.pdf,Publishable,TMLR,0.45659703
P039.pdf,Publishable,TMLR,0.39253324
P040.pdf,Publishable,TMLR,0.46729785
P041.pdf,Publishable,TMLR,0.3975676
P042.pdf,Publishable,TMLR,0.49159575
P043.pdf,Non-Publishable,TMLR,0.39419976
P044.pdf,Publishable,TMLR,0.44362572
P045.pdf,Publishable,TMLR,0.43764746
P046.pdf,Publishable,TMLR,0.42005026
P047.pdf,Non-Publishable,TMLR,0.39797634
P048.pdf,Publishable,TMLR,0.43878424
P049.pdf,Publishable,TMLR,0.5027524
P050.pdf,Publishable,TMLR,0.48493683
P051.pdf,Publishable,TMLR,0.40314525
P052.pdf,Publishable,TMLR,0.43368846
P053.pdf,Non-Publishable,TMLR,0.3903374
P054.pdf,Publishable,TMLR,0.42921862
P055.pdf,Publishable,TMLR,0.371418
P056.pdf,Non-Publishable,TMLR,0.40897718
P057.pdf,Publishable,TMLR,0.36822832
P058.pdf,Publishable,TMLR,0.36376417
P059.pdf,Publishable,TMLR,0.39802486
P060.pdf,Publishable,TMLR,0.40649405
P061.pdf,Publishable,TMLR,0.44462526
P062.pdf,Publishable,TMLR,0.47801962
P063.pdf,Publishable,TMLR,0.51404476
P064.pdf,Publishable,TMLR,0.43374592
P065.pdf,Publishable,TMLR,0.4259114
P066.pdf,Publishable,TMLR,0.4661468
P067.pdf,Publishable,TMLR,0.43853647
P068.pdf,Publishable,TMLR,0.5135449
P069.pdf,Non-Publishable,TMLR,0.49761662
P070.pdf,Non-Publishable,TMLR,0.45963383
P071.pdf,Publishable,TMLR,0.4762853
P072.pdf,Publishable,TMLR,0.36028075
P073.pdf,Non-Publishable,TMLR,0.38995954
P074.pdf,Publishable,CVPR,0.44737506
P075.pdf,Publishable,TMLR,0.5274825
P076.pdf,Publishable,TMLR,0.47751385
P077.pdf,Non-Publishable,TMLR,0.45963383
P078.pdf,Publishable,TMLR,0.44927505
P079.pdf,Publishable,TMLR,0.46358532
P080.pdf,Publishable,TMLR,0.44155562
P081.pdf,Publishable,TMLR,0.4054953
P082.pdf,Publishable,TMLR,0.55618757
P083.pdf,Publishable,TMLR,0.41157502
P084.pdf,Publishable,TMLR,0.4428907
P085.pdf,Publishable,TMLR,0.43322176
P086.pdf,Non-Publishable,TMLR,0.4134022
P087.pdf,Publishable,TMLR,0.35198146
P088.pdf,Publishable,TMLR,0.4621326
P089.pdf,Publishable,TMLR,0.3807894
P090.pdf,Publishable,TMLR,0.45880237
P091.pdf,Publishable,TMLR,0.4817327
P092.pdf,Publishable,TMLR,0.39063728
P093.pdf,Publishable,TMLR,0.38949454
P094.pdf,Non-Publishable,TMLR,0.42007485
P095.pdf,Publishable,TMLR,0.54420227
P096.pdf,Non-Publishable,TMLR,0.3853724
P097.pdf,Non-Publishable,TMLR,0.4103667
P098.pdf,Publishable,TMLR,0.41891235
P099.pdf,Publishable,TMLR,0.50810915
P100.pdf,Non-Publishable,TMLR,0.4001906
P101.pdf,Publishable,CVPR,0.4907366
P102.pdf,Publishable,TMLR,0.4638561
P103.pdf,Publishable,TMLR,0.45069236
P104.pdf,Publishable,TMLR,0.42614186
P105.pdf,Non-Publishable,TMLR,0.35287046
P106.pdf,Publishable,TMLR,0.4240082
P107.pdf,Publishable,TMLR,0.4149577
P108.pdf,Publishable,CVPR,0.46309358
P109.pdf,Publishable,TMLR,0.36356413
P110.pdf,Publishable,TMLR,0.35364535
P111.pdf,Publishable,TMLR,0.44701374
P112.pdf,Publishable,TMLR,0.45424747
P113.pdf,Publishable,CVPR,0.52409965
P114.pdf,Publishable,TMLR,0.427532
P115.pdf,Publishable,TMLR,0.43821654
P116.pdf,Publishable,TMLR,0.48105568
P117.pdf,Publishable,TMLR,0.46358612
P118.pdf,Publishable,TMLR,0.50986254
P119.pdf,Non-Publishable,TMLR,0.42969328
P120.pdf,Publishable,TMLR,0.4838629
P121.pdf,Publishable,TMLR,0.46011955
P122.pdf,Publishable,TMLR,0.4022628
P123.pdf,Publishable,TMLR,0.46533763
P124.pdf,Publishable,CVPR,0.5149318
P125.pdf,Publishable,TMLR,0.40218136
P126.pdf,Publishable,TMLR,0.45660418
P127.pdf,Publishable,TMLR,0.4767174
P128.pdf,Publishable,TMLR,0.43172124
P129.pdf,Non-Publishable,TMLR,0.4354112
P130.pdf,Publishable,TMLR,0.42636096
P131.pdf,Publishable,TMLR,0.4189895
P132.pdf,Publishable,TMLR,0.4222562
P133.pdf,Publishable,TMLR,0.41264778
P134.pdf,Non-Publishable,TMLR,0.38910455
P135.pdf,Publishable,TMLR,0.49798614
